RECEIVER,SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
3bc2afc8-d924-472a-b617-8430d43f8aa3,3515,98:4F:EE:0D:04:A4,2020-06-23 13:05:20.255686,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-46
fdf89eab-93b1-4655-882c-540ec651a1c8,2847,98:4F:EE:0D:0F:34,2020-06-23 13:05:20.272698,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3657,98:4F:EE:0D:11:53,2020-06-23 13:05:20.275703,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-54
d8020ffa-6fb9-4478-97ed-61537a947f58,5871,98:4F:EE:0D:0F:34,2020-06-23 13:05:20.278703,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-46
89b6d740-b228-47d7-af3d-19ba4e499957,3674,98:4F:EE:0D:0E:38,2020-06-23 13:05:20.280700,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-47
5e89115a-ea5b-4178-afbf-72413b17feb9,2947,98:4F:EE:0D:0E:C6,2020-06-23 13:05:20.283688,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-45
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3752,98:4F:EE:0D:11:4C,2020-06-23 13:05:20.285688,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-51
3bc2afc8-d924-472a-b617-8430d43f8aa3,3516,98:4F:EE:0D:0E:C6,2020-06-23 13:05:20.288688,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-54
fdf89eab-93b1-4655-882c-540ec651a1c8,2848,98:4F:EE:0D:04:A4,2020-06-23 13:05:20.299777,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-46
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3658,98:4F:EE:0D:11:4C,2020-06-23 13:05:20.302809,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-44
d8020ffa-6fb9-4478-97ed-61537a947f58,5872,98:4F:EE:0D:11:53,2020-06-23 13:05:20.304785,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-54
89b6d740-b228-47d7-af3d-19ba4e499957,3675,98:4F:EE:0D:04:8E,2020-06-23 13:05:20.307785,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-49
5e89115a-ea5b-4178-afbf-72413b17feb9,2948,98:4F:EE:0D:11:53,2020-06-23 13:05:20.309786,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-53
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3753,98:4F:EE:0D:0F:34,2020-06-23 13:05:20.312789,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-46
3bc2afc8-d924-472a-b617-8430d43f8aa3,3517,98:4F:EE:0D:11:53,2020-06-23 13:05:20.315789,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-60
fdf89eab-93b1-4655-882c-540ec651a1c8,2849,98:4F:EE:0D:04:8E,2020-06-23 13:05:20.538630,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3659,98:4F:EE:0D:0E:C6,2020-06-23 13:05:20.540630,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
d8020ffa-6fb9-4478-97ed-61537a947f58,5873,98:4F:EE:0D:0E:C6,2020-06-23 13:05:20.543643,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
89b6d740-b228-47d7-af3d-19ba4e499957,3676,98:4F:EE:0D:0E:C6,2020-06-23 13:05:20.545642,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-45
5e89115a-ea5b-4178-afbf-72413b17feb9,2949,98:4F:EE:0D:0F:34,2020-06-23 13:05:20.548643,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-46
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3754,98:4F:EE:0D:04:A4,2020-06-23 13:05:20.550643,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-64
3bc2afc8-d924-472a-b617-8430d43f8aa3,3518,98:4F:EE:0D:04:A4,2020-06-23 13:05:20.553631,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-48
fdf89eab-93b1-4655-882c-540ec651a1c8,2850,98:4F:EE:0D:11:4C,2020-06-23 13:05:20.579647,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3660,98:4F:EE:0D:0E:38,2020-06-23 13:05:20.581633,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-53
